Incident Name,Claim Type,Claim Number,PDF Link,Determination Date,Responsible Party,Amount of Oil Released,Trustees,Number of Trustees,Description of the Event,Description of Injury Determination and Quantification,Biological Effects,Amount of Money Owed by the RP from this claim,Notes
Deepwater Horizon,Assessment,N10036-OI03,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI03%20NR%20Paid_Redacted.pdf,2011/12/05,"BP Exploration & Production, Inc. (BP)",A significant amount of oil,"DOI, along with NOAA and Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)","Not explicitly stated, but implied to be at least 6 (DOI, NOAA, and 5 Gulf Coast states)","On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging a significant amount of oil into the Gulf of Mexico.","DOI is using the Beached Bird (BBM) and Live Oiled Bird Models (LOBM) to quantify avian injuries. The BBM determines the total number of birds killed based on the number of dead birds recovered during the response. The LOBM determines the total injury from the number of birds present in spill-affected areas, the percentage of birds oiled, and oiled bird survival rates.","Avian injuries, including bird deaths, delayed mortality, and exposure to sub-lethal concentrations of oil.","$775,000 (compensable) and up to $116,250 (for contingency costs subject to NPFC review and approval)",
Deepwater Horizon,Assessment,N10036-EP25,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-EP25%20NRD%20Paid_Redacted.pdf,2015/03/18,BP Exploration & Production Inc. (BP),Approximately 3.19 million barrels of oil,"U.S. Department of the Interior,National Oceanic and Atmospheric Administration,U.S. Environmental Protection Agency,U.S. Department of Agriculture,and the State of Louisiana,State of Mississippi,State of Alabama,State of Florida,State of Texas",9,"The Deepwater Horizon (DWH) oil spill occurred following the explosion and subsequent sinking of the DWH mobile offshore drilling unit in April 2010, resulting in the release of oil into the Gulf of Mexico.","Trustees conducted studies to determine the type, degree, and spatial and temporal extent of injuries to natural resources that resulted from the spill.","Observed injuries spanned a wide range of natural resources, including wetlands, coastal and marine habitats, submerged aquatic vegetation, oysters, benthic communities, sea turtles, marine mammals, and birds.",Not Specified in Text,
Deepwater Horizon,Assessment,N10036-EP32,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-EP32%20NRD%20Paid_Redacted.pdf,2015/08/03,"BP Exploration & Production, Inc. (BP)",3.19 million gallons,"Department of Commerce, National Oceanic and Atmospheric Administration (NOAA),Department of the Interior, Fish and Wildlife Service (FWS),Environmental Protection Agency (EPA),Department of Agriculture (USDA),Louisiana,Mississippi,Alabama,Florida,Texas",9,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 3.19 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.","EPA will conduct a toxicity study that will provide assessment information on injuries to marine mammals caused by the inhalation of emissions from oil burned during the response to the Deepwater Horizon oil spill. EPA will conduct oil burnings at the U.S. Army’s Aberdeen Test Center for a period of six days. They will burn oil similar to the oil released in the Deepwater Horizon oil spill, both with and without the same type of dispersants used during the response.  From the burnings, EPA will collect and analyze the resulting constituents, measuring both the type and amount of pollutants created by the burned oil. EPA will then take extracts from the pollutants collected during the burnings and, via in-vitro testing, introduce those pollutants to both human pulmonary cells and bacterial cells to determine the amount of oxidative stress experienced by the cells.","Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds were observed. Numerous other natural resources at risk including fish, marine mammals, oysters, and associated habitats were identified.","$2,056,000",
Deepwater Horizon,Assessment,N10036-OI04,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI04%20NR_Redacted.pdf,2012/03/13,,,,,,,,,Failed to parse or extract data
Deepwater Horizon,Assessment,N10036-OC06,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC06%20NR_Redacted.pdf,2011/03/27,"BP Exploration & Production, Inc. (BP)",134.4 to 210.0 million gallons,"NOAA, Department of the Interior, and five Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)",7,"The Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 134.4 to 210.0 million gallons of oil into the Gulf of Mexico on April 20, 2010.","NOAA-led surveys of recreation activities identified lost human use opportunities associated with fishing closures and various natural resources in the Gulf region, including fishing, swimming, beach-going, and viewing of birds and wildlife. NOAA’s Lost Human Use Assessment Plan seeks to quantify the nature and extent of these losses through direct and total value assessment methods.","Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds were observed.","$32,980,000",
Deepwater Horizon,Assessment,N10036-OC08,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC08%20NR%20Paid_Redacted.pdf,2011/07/05,"BP Exploration & Production, Inc. (BP), Transocean, MOEX, and Anadarko",210 million gallons,"NOAA, the Department of the Interior and five Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico over a period of approximately three months. In addition, approximately 771,000 gallons of dispersants were applied to the waters of the spill area to minimize impacts from the oil.",The trustees are working together to develop plans to determine the nature and extent of losses to natural resources.,"Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds were observed. 39,885 square miles of Gulf of Mexico federal waters remained closed to fishing. Natural resources at risk to include fish, marine mammals, sea turtles, oysters and associated habitats.","$19,428,049",
Deepwater Horizon,Assessment,N10036-OI09,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI09%20NR_Redacted.pdf,2012/05/31,"BP Exploration & Production, Inc. (BP)",210 million gallons,"DOI, NOAA, and Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)","Potentially more than 7, as it's 'DOI, NOAA, and Gulf Coast states' (5 states mentioned)","The Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging oil into the Gulf of Mexico.","Field investigations to assess the potential impacts of Deepwater Horizon oil on Kemp’s ridley sea turtles. Recovered Kemp’s ridley sea turtles, many of which were visibly oiled.  Exposure to crude oil is known to impact egg production, and cause embryo mortality and hatchling deformities.  Turtle eggs are also susceptible to physical and chemical effects of oil from oil-contaminated sand.","Impact on egg production, embryo mortality, hatchling deformities, physical and chemical effects of oil on turtle eggs.","$344,725 (with $51,709 in contingency funding)",
Deepwater Horizon,Assessment,N10036-OI10,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI10%20NR%20Paid_Redacted.pdf,2012/05/29,"BP Exploration & Production, Inc. (BP)",210 million gallons,"DOI, NOAA, and Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)",6,"The Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico over a period of approximately three months.","DOI developed the ATP with experts to determine the effect(s) of avian exposure to Deepwater Horizon oil and dispersants. The ATP, phase 2, involves four specific studies designed to determine the relationship between internal and external exposure and adverse toxicological effects and assess impacts of exposure on avian survival, reproduction, thermoregulatory capacity, disease resistance, and migratory capacity.","Lethal and sublethal avian injury from exposure to Deepwater Horizon oil and dispersants. Impacts on avian survival, reproduction, thermoregulatory capacity, disease resistance, and migratory capacity.","$4,500,226",
Deepwater Horizon,Assessment,N10036-OI11,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI11%20NR_Redacted.pdf,2012/07/20,"BP Exploration & Production, Inc. (BP)",210 million gallons,"DOI,NOAA,Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)",7,"The Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico over a period of approximately three months.  In addition, approximately 771,000 gallons of dispersants were applied to the waters of the spill area to minimize impacts from the oil.","Following the spill, DOI, along with NOAA and Gulf Coast states, initiated an assessment of natural resource damages resulting from the discharges and response to discharges of oil. By the August-September 2010 period, the trustees observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds. Based on initial assessment findings, DOI developed a comprehensive plan that identifies 25 separate studies designed to assess the nature and extent of potential injuries to birds, endangered and threatened fish and mammals, and sea turtles resulting from the spill.","Exposure to crude oil is known to impact egg production, and cause embryo mortality and hatchling deformities. Turtle eggs are also susceptible to physical and chemical effects of oil from oil-contaminated sand through exchange of water and gases with the external environment.","$178,090",
Deepwater Horizon,Assessment,N10036-OI19,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI19%20NR%20Paid_Redacted.pdf,2014/05/28,"BP Exploration & Production, Inc. (BP)",210 million gallons,"Department of the Interior (DOI),Department of Commerce represented by National Oceanic and Atmospheric Administration,Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.","DOI plans to collect data on the number of bird carcasses typically found on beach and marsh shorelines in the northern Gulf of Mexico (i.e., the background bird carcass deposition rate). This background deposition rate will then be used by the trustees to distinguish the number of birds killed or injured due to the Deepwater Horizon oil spill and birds killed by other factors.","The trustees observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, 1,500 oiled birds, and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats.","4,488,277",
Deepwater Horizon,Assessment,N10036-OI21,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI21%20NR%20Paid_Redacted.pdf,2014/10/17,"BP Exploration & Production, Inc. (BP)",210 million gallons,"Department of the Interior (DOI),Department of Commerce (represented by National Oceanic and Atmospheric Administration),Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.",Continuing to track sea turtles and analyze movements in relation to known areas of oiling will help DOI determine potential exposure of sea turtles to Deepwater Horizon oil. Satellite data collected from these tracking studies will then be used with data on geographic extent and severity of oiling and oil toxicity to determine sea turtle injury to Deepwater Horizon oil.,"Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, 1,500 oiled birds, and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats.","$1,026,261",
Deepwater Horizon,Assessment,N10036-OI23,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI23%20NR%20Recon%20Paid_Redacted.pdf,2014/12/17,BP,"Oil discharge on or about April 20, 2010, from a facility located on an area of land leased by BP (the Deepwater Horizon incident).",U.S. Department of the Interior (DOI),Not Specified,Deepwater Horizon oil spill,Assessments to evaluate damages to natural resources resulting from the Deepwater Horizon oil spill in order to develop a damage assessment restoration plan (DARP).,"Damages to natural resources (i.e., birds, sea turtles, sturgeon, etc.).","$1,967,560",
Deepwater Horizon,Assessment,N10036-OI24,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI24%20NR%20Paid_Redacted.pdf,2014/07/03,"BP Exploration & Production, Inc. (BP)",210 million gallons,"Department of the Interior (DOI),Department of Commerce, represented by National Oceanic and Atmospheric Administration,Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010. Responders to the discharge dispensed approximately 1.84 million gallons of dispersants to keep, or delay, the oil from reaching sensitive shorelines.","DOI plans to collect data on the number of birds oiled by factors other than the Deepwater Horizon oil spill such as natural seeps, marine vessels that release oil through bilge discharges and engine exhaust, and releases from oil and gas exploration/production activities (background oiling rate). The study area extends from Galveston Bay Inlet, Texas, to Apalachicola, Florida. This background oiling rate will then be used by the trustees to distinguish the number of birds oiled due to the Deepwater Horizon oil spill from birds oiled by other factors","Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, 1,500 oiled birds, and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats.","$7,338,962",
Deepwater Horizon,Assessment,N10036-OI31,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI31%20NR%20Paid_Redacted.pdf,2015/07/31,"BP Exploration & Production, Inc. (BP)",210 million gallons,"Department of the Interior (DOI),Department of Commerce represented by National Oceanic and Atmospheric Administration (NOAA),Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.","DOI leads the trustee efforts to assess injuries and plan restoration for birds, nesting sea turtles, federal lands, threatened and endangered species, and beaches and barrier islands. DOI also provides technical expertise for other NOAA-led assessment activities. In 2015, DOI will work to develop a Damage Assessment and Restoration Plan (DARP) that the public will be given an opportunity to review. Specifically, DOI will complete injury quantification activities; complete study summaries and technical reports; scale injury to restoration projects; and coordinate with other trustees, contract scientist, data managers, and the public. DOI states, 'staff will be providing input and oversight into the development of the DARP and will continue until the draft plan is ready for public review and comment.'","The trustees observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, 1,500 oiled birds, and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats.","16,904,235",
Deepwater Horizon,Assessment,N10036-OC14,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC14%20NR%20Paid_Redacted.pdf,2013/11/06,"BP Exploration & Production, Inc. (BP)",estimated 210 million gallons,"NOAA, the Department of the Interior and five Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.","The trustees identified 13 resource/habitat injury categories, one of which is lost human use of natural resources injured by the spill and/or associated with the closures. Potential direct human use losses include disruptions in recreational boating, fishing, beach activities, and bird watching, while potential indirect, or non use, losses represent the value that people place on the injured natural resource(s), even if they will never use it.","Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds were observed. 39,885 square miles of Gulf of Mexico federal waters remained closed to fishing.","$3,839,965.85",
Deepwater Horizon,Assessment,N10036-OC15,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC15%20NR%20Paid_Redacted.pdf,2013/01/16,"BP Exploration & Production, Inc. (BP)",134.4 to 210.0 million gallons,"NOAA,Department of the Interior,Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 134.4 to 210.0 million gallons of oil into the Gulf of Mexico, until the well was capped on July 15, 2012.","The trustees identified 13 resource/habitat injury categories, one of which is lost human use. For the human use component, the interconnected resource/habitat categories are related to, and supportive of, direct lost human use and passive use. The trustees are using several sources of data to establish baseline. NOAA will draft, test, and implement a survey to determine the monetary value of direct and passive use losses using stated preference methods.","Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds","$20,074,000",
Deepwater Horizon,Assessment,N10036-OC18,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC18%20NR%20First%20Partial%20Paid_Redacted.pdf,2014/02/03,"BP Exploration & Production, Inc. (BP)",210 million gallons,"National Oceanic Atmospheric Administration (NOAA), the Department of the Interior, and five Gulf Coast states (Louisiana, Mississippi, Alabama, Florida, and Texas)",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.","The trustees initiated an assessment of natural resource damages resulting from the discharges and response to discharges of oil. The trustees observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, 1,500 oiled birds, and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats. The trustees have continued to work together to develop and implement assessment plans to determine the nature and extent of these losses.","Oiled shoreline habitat, oiled sea turtles, oiled birds, fish, marine mammals, oysters, Sargassum, coastal marshes and mangroves.","$46,390,569",
Deepwater Horizon,Assessment,N10036-OC18,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC18%20NR%20Second%20Partial%20Paid_Redacted.pdf,2014/02/19,"BP Exploration & Production, Inc. (BP)",210 million gallons,"Department of Commerce, National Oceanic Atmospheric Administration (NOAA),Department of the Interior, Fish and Wildlife Service (FWS),Louisiana,Mississippi,Alabama,Florida,Texas",7,"The Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico.","The trustees initiated an assessment of natural resource damages resulting from the discharges and response to discharges of oil.  They observed oiled shoreline habitat, oiled sea turtles, and oiled birds and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats. The trustees have continued to work together to develop and implement assessment plans to determine the nature and extent of these losses.","Observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds; and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats. Found endocrine, respiratory, and hepatic disease in dolphins consistent with adverse health effects as reported from experimental oil exposure studies.  These health conditions were observed in Barataria Bay, LA, an area that experienced heavy oiling, but were not observed in dolphins from Sarasota Bay, FL, an area that was not oiled. Marine mammals may have been injured by oil inhalation during the spill.  ","12,585,574",
